CG10730	CG10730	FBgn0032843	Drosophila melanogaster
CG10733	loj	FBgn0061492	Drosophila melanogaster
CG10738	CG10738	FBgn0036368	Drosophila melanogaster
CG10764	CG10764	FBgn0034221	Drosophila melanogaster
CG1077	CG1077	FBgn0037405	Drosophila melanogaster
CG10772	Fur1	FBgn0004509	Drosophila melanogaster
CG10776	wit	FBgn0024179	Drosophila melanogaster
CG10781	ng1	FBgn0002933	Drosophila melanogaster
CG10788	ng3	FBgn0010295	Drosophila melanogaster
CG10789	ng4	FBgn0010296	Drosophila melanogaster
CG10790	Pig1	FBgn0003086	Drosophila melanogaster
CG10794	DptB	FBgn0034407	Drosophila melanogaster
CG10795	CG10795	FBgn0034626	Drosophila melanogaster
CG10799	CG10799	FBgn0033821	Drosophila melanogaster
CG10810	Drs	FBgn0283461	Drosophila melanogaster
CG10812	Drsl5	FBgn0035434	Drosophila melanogaster
CG10816	Dro	FBgn0010388	Drosophila melanogaster
CG10824	cDIP	FBgn0038865	Drosophila melanogaster
CG10827	CG10827	FBgn0038845	Drosophila melanogaster
CG1084	Cont	FBgn0037240	Drosophila melanogaster
CG10852	Acp63F	FBgn0015585	Drosophila melanogaster
CG10853	CG10853	FBgn0035478	Drosophila melanogaster
CG1090	CG1090	FBgn0037238	Drosophila melanogaster
CG10910	CG10910	FBgn0034289	Drosophila melanogaster
CG10911	CG10911	FBgn0034295	Drosophila melanogaster
CG10912	CG10912	FBgn0034296	Drosophila melanogaster
CG10918	CG10918	FBgn0031178	Drosophila melanogaster
CG1092	CG1092	FBgn0037228	Drosophila melanogaster
CG10936	CG10936	FBgn0034253	Drosophila melanogaster
CG10946	dpr14	FBgn0029974	Drosophila melanogaster
CG10953	CG10953	FBgn0034204	Drosophila melanogaster
CG10956	Spn53F	FBgn0034195	Drosophila melanogaster
CG10975	Ptp69D	FBgn0014007	Drosophila melanogaster
CG10992	CtsB1	FBgn0030521	Drosophila melanogaster
CG11007	CG11007	FBgn0034455	Drosophila melanogaster
CG11012	Ugt37a1	FBgn0026756	Drosophila melanogaster
CG1102	MP1	FBgn0027930	Drosophila melanogaster
CG11029	CG11029	FBgn0031735	Drosophila melanogaster
CG11034	CG11034	FBgn0031741	Drosophila melanogaster
CG11037	CG11037	FBgn0037038	Drosophila melanogaster
CG11051	Nplp2	FBgn0040813	Drosophila melanogaster
CG11059	Cals	FBgn0039928	Drosophila melanogaster
CG1106	Gel	FBgn0010225	Drosophila melanogaster
CG11062	Actbeta	FBgn0024913	Drosophila melanogaster
CG11064	apolpp	FBgn0087002	Drosophila melanogaster
CG11066	scaf	FBgn0033033	Drosophila melanogaster
CG11073	CG11073	FBgn0034693	Drosophila melanogaster
CG11081	PlexA	FBgn0025741	Drosophila melanogaster
CG11098	Tango1	FBgn0031842	Drosophila melanogaster
CG11103	CG11103	FBgn0030522	Drosophila melanogaster
CG11110	CG11110	FBgn0034535	Drosophila melanogaster
CG11111	rdgB	FBgn0003218	Drosophila melanogaster
CG11112	CG11112	FBgn0033164	Drosophila melanogaster
CG11113	CG11113	FBgn0033165	Drosophila melanogaster
CG11124	sPLA2	FBgn0033170	Drosophila melanogaster
CG11129	Yp3	FBgn0004047	Drosophila melanogaster
CG11131	CG11131	FBgn0037204	Drosophila melanogaster
CG11136	Lrt	FBgn0034540	Drosophila melanogaster
CG11142	obst-E	FBgn0031737	Drosophila melanogaster
CG11144	mGluR	FBgn0019985	Drosophila melanogaster
CG11159	CG11159	FBgn0034539	Drosophila melanogaster
CG11170	CG11170	FBgn0034705	Drosophila melanogaster
CG11177	BthD	FBgn0030501	Drosophila melanogaster
CG11190	PIG-T	FBgn0030035	Drosophila melanogaster
CG11192	CG11192	FBgn0034507	Drosophila melanogaster
CG11200	CG11200	FBgn0034500	Drosophila melanogaster
CG11211	CG11211	FBgn0033067	Drosophila melanogaster
CG11218	Obp56d	FBgn0034470	Drosophila melanogaster
CG1124	CG1124	FBgn0037290	Drosophila melanogaster
CG11280	trn	FBgn0010452	Drosophila melanogaster
CG11282	caps	FBgn0023095	Drosophila melanogaster
CG11289	CG11289	FBgn0031887	Drosophila melanogaster
CG11300	CG11300	FBgn0034901	Drosophila melanogaster
CG11310	Cpr78Ca	FBgn0037067	Drosophila melanogaster
CG11313	CG11313	FBgn0039798	Drosophila melanogaster
CG11314	Npc2g	FBgn0039800	Drosophila melanogaster
CG11315	Npc2h	FBgn0039801	Drosophila melanogaster
CG11318	CG11318	FBgn0039818	Drosophila melanogaster
CG11320	DIP-iota	FBgn0031837	Drosophila melanogaster
CG11326	Tsp	FBgn0031850	Drosophila melanogaster
CG11328	Nhe3	FBgn0028703	Drosophila melanogaster
CG1133	opa	FBgn0003002	Drosophila melanogaster
CG11331	Spn27A	FBgn0028990	Drosophila melanogaster
CG11335	lox	FBgn0039848	Drosophila melanogaster
CG11340	pHCl-2	FBgn0039840	Drosophila melanogaster
CG11345	CG11345	FBgn0035546	Drosophila melanogaster
CG11348	nAChRbeta1	FBgn0000038	Drosophila melanogaster
CG11349	CG11349	FBgn0035550	Drosophila melanogaster
